frame,mjd,source_id,flux_net,flux_net_small,bkg
proc_V842_Her_Light_001.fits,61160.8951534838,1400093887491189760,57857.70608123671,19440.54392093973,4212.505859375
proc_V842_Her_Light_001.fits,61160.8951534838,1403619643324104576,197560.7437031982,145215.94812850974,3941.9296875
proc_V842_Her_Light_001.fits,61160.8951534838,1424705695068542976,197261.92321570806,126770.31411544871,3931.3624267578125
proc_V842_Her_Light_001.fits,61160.8951534838,1400011007505471488,170531.10646319535,67822.29026436765,4080.971435546875
proc_V842_Her_Light_001.fits,61160.8951534838,1400598803846235136,209956.09051944496,163016.75164837998,3941.1866455078125
proc_V842_Her_Light_001.fits,61160.8951534838,1427663587506214784,196755.08171721187,145782.8885773649,3887.0185546875
proc_V842_Her_Light_001.fits,61160.8951534838,1403063737116702208,173953.7007799843,106868.245798077,4027.01953125
proc_V842_Her_Light_001.fits,61160.8951534838,1400233800345352192,197467.08099769556,152464.3594558523,4050.028076171875
proc_V842_Her_Light_001.fits,61160.8951534838,1423374156423334144,201480.0182161989,160706.14223218703,4021.338134765625
proc_V842_Her_Light_001.fits,61160.8951534838,1403484953149374592,170113.67515417613,125317.63218336794,3964.7578125
proc_V842_Her_Light_001.fits,61160.8951534838,1423196619654946944,65533.52765047189,34720.359065338955,4136.5
proc_V842_Her_Light_001.fits,61160.8951534838,1400086706305766016,175743.04694204306,94189.39250985408,4132.713623046875
proc_V842_Her_Light_001.fits,61160.8951534838,1403162624443914240,175542.32682687463,61030.229321259496,4022.0543212890625
proc_V842_Her_Light_001.fits,61160.8951534838,1423183970975103872,172985.11570680136,130001.21806869058,4071.3466796875
proc_V842_Her_Light_001.fits,61160.8951534838,1400283553246563840,182240.14823021553,140506.91653074726,4002.2509765625
proc_V842_Her_Light_001.fits,61160.8951534838,1403250551014462464,160211.24207924114,41134.39004848567,3951.388916015625
proc_V842_Her_Light_001.fits,61160.8951534838,1424676149989498624,181240.48321310215,126917.46775589732,3899.5216064453125
proc_V842_Her_Light_001.fits,61160.8951534838,1423205828064807168,155434.19757507282,118966.18666053309,4074.357177734375
proc_V842_Her_Light_001.fits,61160.8951534838,1423509087115649792,147250.07723163947,110167.27855975016,4022.8037109375
proc_V842_Her_Light_001.fits,61160.8951534838,1403410942272748288,142621.89399143396,101917.48654476948,3883.2681884765625
proc_V842_Her_Light_001.fits,61160.8951534838,1403945751600792320,141821.79465519532,104476.59234703837,3830.847900390625
proc_V842_Her_Light_001.fits,61160.8951534838,1424684465046212224,146839.1863595469,93336.73260295684,3880.7083740234375
proc_V842_Her_Light_001.fits,61160.8951534838,1399997744646463232,126798.7410394224,37334.844384780255,4106.785400390625
proc_V842_Her_Light_001.fits,61160.8951534838,1404034812042785920,109995.00896482752,38064.2858525913,3911.5390625
proc_V842_Her_Light_001.fits,61160.8951534838,1400449510782744704,121900.44559545745,82228.13099337128,4002.3232421875
proc_V842_Her_Light_001.fits,61160.8951534838,1411165694704398976,148520.35007302352,119152.19883809226,4107.626953125
proc_V842_Her_Light_001.fits,61160.8951534838,1403835074587136000,131971.78282607644,97215.34776298488,3839.802734375
proc_V842_Her_Light_001.fits,61160.8951534838,1424721741065764608,112185.88334354368,74666.37573647547,3880.9912109375
proc_V842_Her_Light_001.fits,61160.8951534838,1403869850938712064,125452.35580805922,92494.57442400181,3862.5450439453125
proc_V842_Her_Light_001.fits,61160.8951534838,1423448064220253696,127799.13835539325,97632.42923565731,4032.06005859375
proc_V842_Her_Light_001.fits,61160.8951534838,1403049233011024256,110666.03275431966,58808.22643831835,4062.0928955078125
proc_V842_Her_Light_001.fits,61160.8951534838,1403848337446143360,131520.9527475892,101582.80618785792,3829.078369140625
proc_V842_Her_Light_001.fits,61160.8951534838,1403848857138220672,127494.39621833607,97999.48314494468,3840.3935546875
